"name","count","Den","RD","Do"
"大葉桃花心木","16","4","0.551724137931034","424.6596445"
"山棕","1","0.25","0.0344827586206897","1.5386"
"瑪瑙珠","2","0.5","0.0689655172413793","0.03140019625"
"九節木","1","0.25","0.0344827586206897","3.14e-06"
"變葉木","2","0.5","0.0689655172413793","9.106e-05"
"小毛蕨","1","0.25","0.0344827586206897","3.46185"
"鐵線蓮","1","0.25","0.0344827586206897","0.19625"
"菝葺","1","0.25","0.0344827586206897","1.9625e-07"
"姑婆芋","1","0.25","0.0344827586206897","0.00032989625"
"海金沙","1","0.25","0.0344827586206897","0.0063585"
"台灣山桂花","1","0.25","0.0344827586206897","1.9625e-05"
"合果芋","1","0.25","0.0344827586206897","0.000176625"
